state,incidentType,expectedResourceLevel,disasterCategory,durationClass,durationDays,declarationDelayDays,fyDeclared,ihProgramDeclared,paProgramDeclared,hmProgramDeclared,expectedResourceScore,missionAssignmentCount,uniqueAgencyCount,uniqueMaTypeCount,uniquePriorityCount,responseComplexityScore,missionDensity,agencyDensity,stage1_funded_prediction,ml_base_prediction,true_funding,totalObligatedFunding
SC,Severe Storm,Medium-High,Weather,Medium,7,40,2020,False,True,True,3,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
SC,Biological,Medium,Unknown,Long,1207,67,2020,True,True,True,2,87,8,2,4,696,0.07207953603976802,0.006628003314001657,1,36075790.0,86432359.77,86432359.77
SC,Severe Storm,Medium-High,Weather,Short,1,19,2020,True,True,True,3,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
SD,Severe Storm,Medium-High,Weather,Long,21,99,2020,False,True,True,3,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
SD,Severe Storm,Medium-High,Weather,Long,17,70,2020,True,True,True,3,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
SD,Biological,Medium,Unknown,Long,1207,76,2020,True,True,True,2,54,5,1,3,270,0.04473902236951118,0.004142502071251036,1,8774521.0,8379672.27,8379672.27
TN,Severe Storm,Medium-High,Weather,Short,0,41,2020,False,True,True,3,7,1,1,2,7,0.0,0.0,1,27024.328,21516.0,21516.0
TN,Tornado,Medium-High,Weather,Short,0,2,2020,True,True,True,3,4,1,1,1,4,0.0,0.0,1,308261.25,490433.54,490433.54
TN,Biological,Medium,Unknown,Long,1207,73,2020,True,True,True,2,132,13,2,4,1716,0.1093620546810273,0.01077050538525269,1,119406410.0,180482189.55,180482189.55
TN,Severe Storm,Medium-High,Weather,Short,1,12,2020,True,True,True,3,8,2,2,2,16,8.0,2.0,1,190457.28,341463.02,341463.02
TN,Severe Storm,Medium-High,Weather,Short,1,67,2020,False,True,True,3,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
TX,Flood,High,Weather,Medium,6,17,2020,True,False,True,4,4,1,1,1,4,0.6666666666666666,0.1666666666666667,1,11155.116,8935.25,8935.25
TX,Biological,Medium,Unknown,Long,1207,65,2020,True,True,True,2,339,27,2,4,9153,0.2808616404308202,0.02236951118475559,1,122002330.0,600828727.08,600828727.08
UT,Biological,Medium,Unknown,Long,1207,75,2020,True,True,True,2,65,10,1,4,650,0.05385252692626347,0.008285004142502071,1,15853536.0,34765483.93,34765483.93
UT,Earthquake,Very High,Geological,Long,30,113,2020,True,True,True,5,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
VA,Biological,Medium,Unknown,Long,1207,73,2020,True,True,True,2,133,19,2,4,2527,0.1101905550952775,0.01574150787075394,1,53631520.0,43985248.38999999,43985248.38999999
VI,Biological,Medium,Unknown,Long,1207,73,2020,True,True,True,2,110,11,2,4,1210,0.09113504556752279,0.009113504556752278,1,66454732.0,25679731.57,25679731.57
VT,Severe Storm,Medium-High,Weather,Short,1,78,2020,False,True,True,3,9,2,1,1,18,9.0,2.0,1,55910.867,61497.63,61497.63
VT,Biological,Medium,Unknown,Long,1207,79,2020,True,True,True,2,68,8,1,4,544,0.05633802816901409,0.006628003314001657,1,21798304.0,25438855.42,25438855.42
WA,Biological,Medium,Unknown,Long,1207,62,2020,True,True,True,2,284,34,2,4,9656,0.2352941176470588,0.02816901408450704,1,36669280.0,32601492.84,32601492.84
WA,Flood,High,Weather,Long,21,94,2020,False,True,True,4,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
WI,Flood,High,Weather,Short,2,61,2020,False,True,True,4,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
WI,Biological,Medium,Unknown,Long,1207,75,2020,True,True,True,2,186,21,2,4,3906,0.1541010770505385,0.01739850869925435,1,126329200.0,168299400.14,168299400.14
WV,Biological,Medium,Unknown,Long,1207,74,2020,True,True,True,2,85,9,1,4,765,0.07042253521126761,0.007456503728251864,1,90238480.0,100308919.47,100308919.47
WY,Biological,Medium,Unknown,Long,1207,82,2020,True,True,True,2,33,6,1,3,198,0.02734051367025684,0.004971002485501243,1,3176717.2,3472117.04,3472117.04
AK,Mud/Landslide,Medium,Unknown,Short,2,79,2021,False,True,True,2,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
AL,Hurricane,Very High,Weather,Short,1,43,2021,True,True,True,5,6,1,1,1,6,6.0,1.0,1,179801.81,347882.99,347882.99
AL,Biological,Medium,Unknown,Long,1207,433,2021,True,True,True,2,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
AL,Severe Storm,Medium-High,Weather,Short,1,32,2021,True,True,True,3,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
AZ,Biological,Medium,Unknown,Long,1207,379,2021,True,True,True,2,45,5,1,2,225,0.03728251864125932,0.004142502071251036,1,5319346.5,5509724.77,5509724.77
AZ,Flood,High,Weather,Short,2,53,2021,False,True,True,4,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
CA,Fire,Medium,Unknown,Long,74,42,2021,True,True,True,2,48,11,2,1,528,0.6486486486486487,0.1486486486486487,1,2853909.2,6936089.0,6936089.0
CA,Fire,Medium,Unknown,Long,103,41,2021,True,True,True,2,89,13,2,2,1157,0.8640776699029126,0.1262135922330097,1,4321283.5,3785763.52,3785763.52
CA,Fire,Medium,Unknown,Long,68,29,2021,False,True,True,2,56,8,2,2,448,0.8235294117647058,0.1176470588235294,1,3817299.8,4283238.13,4283238.13
CO,Fire,Medium,Unknown,Long,60,131,2021,False,True,True,2,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
CT,Hurricane,Very High,Weather,Short,0,161,2021,False,True,True,5,15,3,1,2,45,0.0,0.0,1,165108.52,127922.15,127922.15
DE,Hurricane,Very High,Weather,Short,3,59,2021,False,True,True,5,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
GA,Hurricane,Very High,Weather,Short,0,75,2021,False,True,True,5,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
GA,Severe Storm,Medium-High,Weather,Short,1,41,2021,False,True,True,3,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
HI,Flood,High,Weather,Medium,10,66,2021,False,True,True,4,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
ID,Severe Storm,Medium-High,Weather,Short,0,50,2021,False,True,True,3,3,2,1,1,6,0.0,0.0,1,45870.91,81418.45999999999,81418.45999999999
KY,Severe Ice Storm,Medium,Unknown,Long,11,51,2021,False,True,True,2,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0
